nome,preco,loja_nome ,img_link
Whey Grego 900g Nutrata 6 Sabores Pronta Entrega + Brinde,78.0,,"https://http2.mlstatic.com/whey-grego-900g-nutrata-6-sabores-pronta-entrega-brinde-D_NQ_NP_965973-MLB28131461651_092018-F.jpg,https://http2.mlstatic.com/whey-grego-900g-nutrata-6-sabores-pronta-entrega-brinde-D_NQ_NP_641757-MLB28131368457_092018-F.jpg"
"Fit Gold Erusmed, Natural E Eficaz Superior Ao Moder%",159.0,,"https://http2.mlstatic.com/fit-gold-erusmed-natural-e-eficaz-superior-ao-moder-D_NQ_NP_445215-MLB25174385874_112016-F.jpg,https://http2.mlstatic.com/fit-gold-erusmed-natural-e-eficaz-superior-ao-moder-D_NQ_NP_612215-MLB25174387240_112016-F.jpg,https://http2.mlstatic.com/fit-gold-erusmed-natural-e-eficaz-superior-ao-moder-D_NQ_NP_394215-MLB25174388063_112016-F.jpg"
Ômega 3 Óleo De Peixe 1000mg - Fitoway - 360 Cápsulas,55.99,,"https://http2.mlstatic.com/mega-3-oleo-de-peixe-1000mg-fitoway-360-capsulas-D_NQ_NP_916421-MLB20798814787_072016-F.jpg,https://http2.mlstatic.com/mega-3-oleo-de-peixe-1000mg-fitoway-360-capsulas-D_NQ_NP_764221-MLB20728543345_052016-F.jpg,https://http2.mlstatic.com/mega-3-oleo-de-peixe-1000mg-fitoway-360-capsulas-D_NQ_NP_796397-MLB25970966774_092017-F.jpg,https://http2.mlstatic.com/mega-3-oleo-de-peixe-1000mg-fitoway-360-capsulas-D_NQ_NP_843405-MLB20860026437_082016-F.jpg"
Kit 10x Diet Way 420 G - Midway,25.99,,"https://http2.mlstatic.com/kit-10x-diet-way-420-g-midway-D_NQ_NP_636099-MLB29101854701_012019-F.jpg,https://http2.mlstatic.com/kit-10x-diet-way-420-g-midway-D_NQ_NP_796927-MLB29101854703_012019-F.jpg"
Hydroxy 6 Usa Termogênico 90 Cápsulas - Midway,20.99,,"https://http2.mlstatic.com/hydroxy-6-usa-termognico-90-capsulas-midway-D_NQ_NP_787551-MLB29044573092_122018-F.jpg,https://http2.mlstatic.com/hydroxy-6-usa-termognico-90-capsulas-midway-D_NQ_NP_741084-MLB29044573091_122018-F.jpg"
Bcaa 2400 + Zma 120 Tabs - Lauton Nutrition,32.0,,"https://http2.mlstatic.com/bcaa-2400-zma-120-tabs-lauton-nutrition-D_NQ_NP_588625-MLB25463360421_032017-F.jpg,https://http2.mlstatic.com/bcaa-lauton-nutrition-D_NQ_NP_809559-MLB27159527428_042018-F.jpg"
Cacao Whey Protein Cacau - (450g) - Essential Nutrition,109.0,,https://http2.mlstatic.com/cacao-whey-protein-cacau-450g-essential-nutrition-D_NQ_NP_635225-MLB25402794245_022017-F.jpg
Lipo 6 Black Nutrex 60caps,99.9,,"https://http2.mlstatic.com/lipo-6-black-nutrex-60caps-D_NQ_NP_800641-MLB27131362272_042018-F.jpg,https://http2.mlstatic.com/lipo-6-black-nutrex-60caps-D_NQ_NP_944959-MLB27131338992_042018-F.jpg,https://http2.mlstatic.com/lipo-6-black-nutrex-60caps-D_NQ_NP_974911-MLB27131378145_042018-F.jpg,https://http2.mlstatic.com/lipo-6-black-nutrex-60caps-D_NQ_NP_749422-MLB27131362294_042018-F.jpg,https://http2.mlstatic.com/lipo-6-black-nutrex-60caps-D_NQ_NP_640843-MLB27131385072_042018-F.jpg,https://http2.mlstatic.com/lipo-6-black-nutrex-60caps-D_NQ_NP_976528-MLB27131341498_042018-F.jpg,https://http2.mlstatic.com/lipo-6-black-nutrex-60caps-D_NQ_NP_641560-MLB27131376682_042018-F.jpg,https://http2.mlstatic.com/lipo-6-black-nutrex-60caps-D_NQ_NP_610075-MLB27131360334_042018-F.jpg,https://http2.mlstatic.com/lipo-6-black-nutrex-60caps-D_NQ_NP_888029-MLB27131373695_042018-F.jpg,https://http2.mlstatic.com/lipo-6-black-nutrex-60caps-D_NQ_NP_885368-MLB27131378692_042018-F.jpg"
Thermo Jet 400mg - Termogenico - Cafeina 120 Capsulas Lauton,31.99,,"https://http2.mlstatic.com/thermo-jet-400mg-termogenico-cafeina-120-capsulas-lauton-D_NQ_NP_702979-MLB28333380442_102018-F.jpg,https://http2.mlstatic.com/thermo-jet-400mg-termogenico-cafeina-120-capsulas-lauton-D_NQ_NP_644129-MLB29102038351_012019-F.jpg"
Kimera Thermo - Termogênico Kimera - 60 Caps - Iridium Labs,59.0,,"https://http2.mlstatic.com/kimera-thermo-termognico-kimera-60-caps-iridium-labs-D_NQ_NP_803221-MLB26842316692_022018-F.jpg,https://http2.mlstatic.com/kimera-thermo-termognico-kimera-60-caps-iridium-labs-D_NQ_NP_847199-MLB26617855821_012018-F.jpg"
